component1,component2,component3,label
-0.20647983,2.5373485,0.29987428,InfoVis
-1.682868,-2.2294803,-0.33372465,InfoVis
-0.8183476,1.88885,-0.055242844,InfoVis
-0.80605674,0.18539773,0.43391407,InfoVis
7.552247,1.0740718,-0.26356566,SciVis
6.1422415,-0.6138618,0.57927144,SciVis
-0.41151965,0.87426305,0.108230166,InfoVis
-0.65580577,0.48077223,-0.08472337,InfoVis
-1.2771268,-1.9767731,0.0007499786,VAST
3.8480506,-0.708571,-0.43163657,SciVis
-0.5274962,1.5358914,0.058267772,InfoVis
-1.2852868,-1.2519361,0.14384335,VAST
-1.5187063,-2.1479332,0.03472439,VAST
1.3911359,-2.8873093,0.98368955,SciVis
-0.23866206,0.90811133,0.29183617,InfoVis
-0.09028275,-0.21064122,0.0941172,SciVis
11.475772,-2.6822064,-0.1572944,SciVis
4.6904025,-0.767909,-0.35048813,SciVis
5.149212,-1.3710883,-0.58554864,SciVis
1.5557498,-0.7511485,0.64968807,SciVis
-0.97334594,-0.8736615,0.06029892,InfoVis
-1.1984893,-0.2434996,-0.32583168,InfoVis
6.410426,-1.4553303,-0.17169291,SciVis
0.060422797,1.3516062,0.21414532,InfoVis
-1.6733906,-1.1072611,-0.36793613,InfoVis
3.5744069,0.0028077671,0.022698952,SciVis
-1.3639743,-1.1797142,-0.49036986,VAST
-1.0075312,0.37209225,0.049308967,VAST
-0.8726188,-0.8136178,0.023863373,VAST
-1.3057307,-0.6550152,-0.09250256,VAST
-0.6391162,0.7086963,0.019633457,VAST
-0.4144208,-0.6824906,-0.022668492,VAST
-1.640303,-0.5852522,-0.4384645,VAST
-1.3123227,-1.4732177,0.24028094,VAST
-1.0333885,0.6628311,-0.033228166,InfoVis
-0.79840624,0.70891696,0.5323908,InfoVis
4.3063,1.8758801,0.0038318448,SciVis
-0.63675344,0.10121184,0.35295165,InfoVis
2.562762,0.37019637,-0.2744534,SciVis
-1.0683931,1.5848904,0.6695941,InfoVis
-1.0716927,-2.054107,0.7932559,VAST
0.34882852,1.416094,0.8735184,SciVis
